2025-09-09 12:55:59.994 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:55:59.994 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:57:23.538 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:57:23.615 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:57:23.851 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:57:23.851 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:57:36.778 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:57:36.864 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:57:37.089 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:57:37.089 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:58:07.242 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:58:07.330 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:58:07.558 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:58:07.558 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:09:36.087 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:09:36.178 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:09:36.417 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:09:36.417 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:10:56.371 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:10:56.433 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:10:56.683 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:10:56.683 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
